,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DUSP1,8.39987993505071,1.40630328087403,0.345360768322754,4.07198329938791,4.66145223272839e-05,0.0146408445542944
FLNA,125.955782150926,1.05333242417304,0.283429287943651,3.71638524661734,0.000202093364409036,0.0346222677480753
FOS,8.99115645873335,1.16350221470501,0.294045605438458,3.95687673335599,7.59360899175679e-05,0.0190802081932876
HLA-E,46.5620156555243,1.11352502516174,0.290386669338762,3.83462859261873,0.000125754168923936,0.0243060237268879
ISG20,2.60245630626804,1.12758036434131,0.257091847531942,4.38590478525856,1.15504641993581e-05,0.00870673991347616
JUN,10.4940034109057,1.25324813460418,0.300204145552476,4.17465299254208,2.98440603429671e-05,0.0118402382560677
KCNA6,2.30667487316818,-1.39657988760864,0.37460285042939,-3.72816140082171,0.000192881838516853,0.0346176975890485
MIR6723,24.5560994567964,-2.17160962565992,0.445460232720543,-4.8749797763031,1.08819602734051e-06,0.00428960480622667
MTRNR2L2,5.5057796660625,-2.42645264358016,0.572060948010871,-4.2415981234469,2.21933822393916e-05,0.0104211408890784
MTRNR2L9,3.62804905647503,-2.65416398170636,0.676408105366661,-3.9239091912827,8.71235868662116e-05,0.0208595585648053
MUC4,6.35380015979093,-1.77062807145027,0.456743481184894,-3.87663567054503,0.000105910764687746,0.0217470560076345
OAZ1,10.881288897127,1.14131478495809,0.294553658020301,3.87472623028648,0.000106744636811154,0.0217470560076345
PPP1R15A,7.15749139991901,1.10080955975718,0.257030326296014,4.28280030462013,1.84555796406263e-05,0.0104211408890784
RNF213,42.8675289189383,1.11736861847445,0.276631626609879,4.0391933206185,5.36353458045124e-05,0.0155884825393441
RPPH1,156.874428656085,1.75499082302597,0.394235799531539,4.45162723707836,8.52220118168982e-06,0.00738698513694596
RPS19,24.8679878971765,1.01067571448744,0.280134745683843,3.60781991544911,0.000308780684340507,0.0442262678080908
RPS9,6.39093532241197,1.23491088475905,0.3424603234846,3.60599695811064,0.000310956778167791,0.0442262678080908
TGFB1,16.5541700526955,1.00859926583762,0.237855218204016,4.24039158549178,2.2313018577086e-05,0.0104211408890784
